longitude,latitude,YR,MO,X,Y,TOT
-73.8850470771912,40.748592533042576,2014,3,1016101,212030,1.0
-73.92019727914723,40.75953810953855,2014,3,1006358,216007,1.0
-73.92250444315077,40.752834269460294,2014,3,1005721,213564,1.0
-73.94017835884199,40.74980911292984,2014,3,1000825,212458,1.0
-73.89146655656789,40.747042487253786,2014,3,1014323,211463,1.0
-73.83401437851587,40.75736565133453,2014,3,1030235,215249,2.0
-73.94742039779477,40.75631220726816,2014,3,998817,214826,1.0
-73.92146429451036,40.80850504938908,2014,3,1005991,233847,1.0
-73.91847427212541,40.8106466031346,2014,3,1006818,234628,1.0
-73.92426029065578,40.83068150706532,2014,7,1005210,241926,1.0
-73.90095999836217,40.83810202372714,2014,3,1011655,244636,1.0
-73.9477907864782,40.66137650083921,2014,3,998735,180238,1.0
-73.93455245907197,40.649841646551714,2014,3,1002411,176038,1.0
-74.00620492742837,40.64216372623637,2014,3,982528,173234,1.0
-73.93120549334866,40.65944368644327,2014,3,1003337,179537,1.0
-73.89849175318014,40.65093259989556,2014,3,1012417,176445,1.0
-73.95574307954828,40.681501790940054,2014,3,996525,187569,3.0
-73.9207697405599,40.633325830961226,2014,3,1006241,170024,1.0
-73.93185859856611,40.651668107839164,2014,3,1003158,176704,2.0
-74.002835808726,40.64195525498668,2014,3,983463,173158,1.0
-73.97054449817821,40.801589372044994,2014,7,992405,231319,1.0
-73.97927459764732,40.68557618781155,2014,3,989998,189051,1.0
-74.00921762268287,40.64444169573849,2014,3,981692,174064,1.0
-73.90032129119082,40.66861608303232,2014,3,1011902,182887,2.0
-73.99376233634295,40.68398591762839,2014,3,985980,188471,1.0
-74.00805024030905,40.64556165543568,2014,3,982016,174472,1.0
-73.90658065439057,40.65724696635148,2014,3,1010170,178743,1.0
-73.94320218355101,40.68706542705086,2014,3,1000002,189598,1.0
-73.91422151733187,40.65718429877394,2014,3,1008050,178718,2.0
-73.89993067922367,40.667078667678474,2014,3,1012011,182327,2.0
-74.00397130097338,40.64948416447764,2014,3,983148,175901,1.0
-73.79984699430716,40.67422449320829,2014,7,1039770,184978,1.0
-73.91456134548727,40.64230233139235,2014,3,1007961,173296,1.0
-73.89572569031036,40.66370708804245,2014,3,1013179,181100,1.0
-73.86920342051741,40.65104849475995,2014,3,1020544,176498,5.0
-73.9591375186348,40.69048119394753,2014,3,995582,190840,1.0
-73.92178244603352,40.63613993267089,2014,3,1005959,171049,1.0
-73.99364246477123,40.731110756888036,2014,3,986012,205640,1.0
-73.92216128477338,40.86735486606023,2014,3,1005779,255288,3.0
-73.94294660360408,40.834060028196745,2014,3,1000038,243153,1.0
-73.94217211380631,40.83122984348528,2014,3,1000253,242122,1.0
-73.94711775833323,40.828353012234366,2014,3,998885,241073,1.0
-73.8951918051016,40.638740043460416,2014,7,1013338,172004,1.0
-73.97490581245526,40.75879997821816,2014,3,991202,215729,1.0
-73.94897700123299,40.82580949873718,2014,3,998371,240146,1.0
-73.95061276004886,40.82236010206471,2014,3,997919,238889,2.0
-73.9876701766246,40.755060964170845,2014,3,987666,214366,1.0
-73.95066620008471,40.76977111748558,2014,3,997915,219729,1.0
-74.00966582447552,40.703676649850124,2014,3,981570,195645,1.0
-74.00724964537837,40.739388880443045,2014,3,982241,208656,1.0
-73.98717571147623,40.73617154472061,2014,3,987804,207484,1.0
-73.95109230929565,40.81387637897314,2014,3,997788,235798,1.0
-73.97258950288871,40.75618370853435,2014,3,991844,214776,1.0
-73.97891262350859,40.758435730351536,2014,7,990092,215596,1.0
-74.00542403455727,40.74347591517262,2014,3,982747,210145,1.0
-73.8652408706578,40.73766066770435,2014,3,1021595,208055,1.0
-73.80095445483099,40.754919847936165,2014,3,1039396,214377,1.0
